"","unlist.questions."
"9091","왜 이 직무에 지원했나요?"
"9092","이 지역에 지원한 이유는?"
"9093","입사 후 회사에서 무엇을 하고 싶나요??"
"9094","축구 포지션 중에 좋아하는 포지션과 이와 연관시켜서 회사에서 할 역할을 설명해보세요"
"9095","한화의 인재상을 말해보세요"
"9096","전공성적이 좋지 않은 편인데, 그것을 대체할 만한 어떤 이야기가 있는가?"
"9097","지원한 직무가 면접볼 때 직무와 다르게 되었는데 상관없는가?"
"9098","회사가 방위산업 중에서 어디쪽에 생산하고 있는지 아는가?"
"9099","광우병 시위에 대해 어떻게 생각하나요?"
"9100","본인이 나온 대학을 선택한 이유는 무엇인가요? 본인이 나온 대학을 추천하고 싶나요?"
"9101","세부 전공에 대해 설명해보세요."
"9102","엔지니어로서 본인의 장단점은 무엇인가요?"
"9103","왜 한화탈레스에 지원했나요?"
"9104","저기에 있는 못이 왜 박혀있다고 생각하나요?"
"9105","학점이 안 좋은데, 다른 활동을 한 것이 있나요?"
"9106","회사 내에서 불합리한 상황을 보면 어떻게 할 것인가요?"
"9107","frequency response에 대해 설명해보세요."
"9108","시상수에 대해 설명해 보시오"
"9109","전공이 전자과인데 품질에 지원한 이유를 말해보시오"
"9110","지방에 지원한 이유가 무엇입니까?"
"9111","OOP를 얼마나 접해보았나요?"
"9112","OOP를 얼마나 접해본 적이 있습니까?"
"9113","개발자로서 가져야 할 3가지 능력"
"9114","윈도우프로그램이 왜 호환성이 높은가"
"9115","자바의 특징이 무엇인지 나열해봐라"
"9116","C++클래스에 대해 3가지 말해봐라"
"9117","SW직무가 아니면 무슨 직업을 했을 것 같나"
"9118","UML의 필수요소가 무엇인가"
"9119","삼성탈레스를 어떻게 알게 되었나"
"9120","전공 중 가장 자신있었던 과목은?"
"9121","미착품 대체 시점은?"
"9122","미착품이란?"
"9123","선급비용은 자산인가 부채인가?"
"9124","선수금과 선급비용의 차이점은?"
"9125","스폐셜리스트란?"
"9126","앞으로 어떻게 성장할 수 있는가?"
"9127","왜 다니던 회사를 그만 두었나?"
"9128","운전면허 있나?"
"9129","자기소개를 해보세요"
"9130","자신의 성격은 어떻다고 생각하는가?"
"9131","본인의 장·단점을 말해보세요"
"9132","본인이 제일 잘하는 걸 말해보세요"
"9133","자기 소개를 해보세요"
"9134","지원 동기를 말해보세요"
"9135","지원하는 직무에서 어떤 사람을 제일 필요로 한다고 생각하는가?"
"9136","증빙의 종류는?"
"9137","아워홈의 진짜 고객은?"
"9138","친구를 사귀는 방법은 어떤가요?"
"9139","회사 내에서 갈등이 생긴다면 어떻게 할건가요?"
"9140","서비스 란?"
"9141","잔반, 잔식 차이"
"9142","밥 맛있게 짓는 노하우"
"9143","살면서 가장 위기였던 순간은 언제였고 극복은 어떻게 했나?"
"9144","전공이 이쪽이 아닌데 어떻게 지원했나?"
"9145","본인의 전공과 이쪽분야가 어떤 관련이 있나?"
"9146","전공도 아닌데 해당 직무를 선택한 이유?"
"9147","지원분야와 본인 직무의 연관성은 있나?"
"9148","졸업후 무엇을 하고 있었나?"
"9149","인이 생각하는 아워홈은 어떤 기업인가"
"9150","자기소개"
"9151","취미나 운동은?"
"9152","상황이 좋지 않아서 식자재유통 쪽 일이 모자른다면 어떻게 할 것인가 방법을 제안해라"
"9153","자신의 강점"
"9154","다른 경력이 많은데 새로운 단체 급식에서 처음부터 배울 수 있겠는가"
"9155","만약 지방으로 되면 다닐 수 있는가"
"9156","여자라서 힘들텐데 할 수 있겠는가"
"9157","왜 아웃백에 있지 단체급식에 왔는가, 그 곳이 편하지 않은가"
"9158","일하던 곳에서 가장 잘 만든 음식은?"
"9159","입사동기"
"9160","잘 하는 음식은?"
"9161","취미는?"
"9162","동기사이에서 왕따가 되면 어떻게 하겠는가"
"9163","바리스타 자격증이 있는데 더치커피가 무엇이냐"
"9164","부모님이 음식점을 하시는데 많이 도와주는가"
"9165","식음료, 편의점 대신 좀 더 급식과 관련된 일을 할 수 있지 않았나"
"9166","외국갔다왔는데 어학연수인가"
"9167","작년에 지원했는데 왜 떨어졌다고 생각하는가"
"9168","최근에 본 영화나 책 중에 감동받은 것 있으면 이야기하시오."
"9169","단체급식과 외식업의 차이는 무엇이라고 생각하는가"
"9170","단체급식을 지원한 이유는?"
"9171","마지막으로 하고 싶은 말은?"
"9172","자기소개"
"9173","취미생활은 무엇인가"
"9174","성적이 좋거나 나쁠 때 왜그런가"
"9175","아워홈이 위탁급식을 했을 때 문제점이 무엇인가"
"9176","연고지가 XX인데 XX으로 발령나도 괜찮은가"
"9177","영양사란 어떤 직업인가"
"9178","음식을 먹는 고객의 이가 부러졌을 때 어떻게 대처할 것이냐"
"9179","전에 다닌 직장이나 아르바이트에 관한 질문"
"9180","거기서 먹어본 음식은 어떠했는가"
"9181","기본 화학/식품 지식(비환원당/환원당, pH와 산도의 차이, 유화제, 산가)"
"9182","기존 논문 및 연구 내용과 어떤 차별화가 있는가"
"9183","누구랑 같이 사는가"
"9184","다른 곳에 지원한 곳이 있는가"
"9185","대학교 전공 및 대학원 전공을 설명하시오"
"9186","본인 연구/논문의 장점은?"
"9187","본인 전공과 식품개발의 연관 및 연계성"
"9188","식품 관련 자격증은 무엇이 있는가"
"9189","아는 사람 중에 아워홈에 다니는 사람이 있는가"
"9190","아워홈에 대한 인지도는 어떠한가"
"9191","어떤 과목을 배웠는가"
"9192","영어로 자기소개하시오"
"9193","우리나라와 차이점이 있는가"
"9194","프로젝트 맡았던 내용을 자세히 말하시오"
"9195","학점 좋지 않은 과목을 말하고 그에 대해 어떻게 생각하는가"
"9196","해외봉사활동을 한 이유는? 계기는?"
"9197","(2차면접) 한글, 영어, 외국어 뭐든 좋으니 자기소개 한번 해주세요."
"9198","(1차면접) 합격 후 다니고 싶은 지역을 1,2,3순위로 말해달라."
"9199","(1차면접) 자신이 볼링핀이라고 가정하에 몇번핀의 인생을 살았다고 생각하나요."
"9200","타지 생활에 적응을 잘 할 수 있겠는가?"
"9201","영업에 있어서 가장 중요한 것이 무엇이라고 생각하는가?"
"9202","SNS를 이용하는가?"
"9203","음식을 할 줄 아는가?"
"9204","다른 회사에 지원하였는가?"
"9205","모든 나무는 하늘을 향하고 모든 물은 바다를 향한다. 자신의 하늘과 바다는 무엇인가?"
"9206","상사가 불합리한 것을 시키면 어떻게 할 것인가?"
"9207","십년 뒤 유한양행에서 어떤 일을 맡아 하고있을 것인가?"
"9208","영업하는데 있어 본인의 장점 2가지를 말해보세요."
"9209","왜 제약영업을 선택했나?"
"9210","자소서에 쓴 성장과정을 요약해서 말해보세요."
"9211","자신의 강점은 무엇인가?"
"9212","지원동기가 무엇인가?"
"9213","10년 후 포부에 대해 말해보세요."
"9214","다른 회사는 어디에 지원했나?"
"9215","유한양행에 지원한 이유가 무엇인가?"
"9216","유한양행에 지원한 이유는?"
"9217","제품 패키지 디자인에 대한 의견을 말해보세요."
"9218","평소 유한양행 제품에 대해 어떻게 생각했나?"
"9219","결혼을 위한 상견례가 예정되었으나, 갑자기 당일 업무가 지시되었다. 어떻게 하겠는가?"
"9220","본인의 인생관은?"
"9221","큰 고객의 항의가 들어왔을 때 어떻게 대처할 것인가?"
"9222","약사가 리베이트를 제안한다면 어떻게 할 것인가?"
"9223","남들보다 잘할 수 있는 본인만의 차별화된 강점은 무엇인가요??"
"9224","다른 회사도 지원한 곳이 있나요?"
"9225","본인이 지원한 직무가 하는 일이 무엇인지 알고 있나요?"
"9226","엠디가 되고 싶은 이유는 무엇인가요??"
"9227","영업전략을 통해 성공한 브랜드나 실패한 브랜드를 말해보세요"
"9228","왜 이 분야에 지원했는지 얘기하고 지원한 분야에 대한 관심을 보여주세요."
"9229","왜 전공과 달리 패션 엠디를 선택했나요?"
"9230","최종 career goal?은 무엇인가요?"
"9231","패션회사를 지원한 이유는 무엇이며 어떤 브랜드를 맡고 싶은지 말해보세요"
"9232","현재 트렌드가 무엇인지 얘기해보세요"
"9233","MD와 상관이 없는 전공인데 왜 MD를 하려고 하나요?"
"9234","지원자의 성격은 외향적인가? 내성적인가?"
"9235","LF 매장에 가 본 적이 있는지, 있다면 느낀 점에 대해 말해보시오."
"9236","MD가 하는 일에는 어떤 것이 있는가?"
"9237","MD로서 자신의 경쟁력은 무엇인가?"
"9238","마지막으로 한마디 해보세요."
"9239","왜 악세서리 분야에 지원했나요?"
"9240","지원한 직무와 관련한 경험이 있나요?"
"9241","LF의 매장을 방문해본 결과, 느낀점은 무엇인가요?"
"9242","LF의 매장을 방문해본 경험이 있나요?"
"9243","담당하고 싶은 브랜드와 그 이유는 무엇인가요?"
"9244","앞으로 나아가야할 방향에 대해 직무와 연관지어 이야기해 보세요."
"9245","직무를 수행하는 데 가장 필요한 역량은 무엇이라 생각하나요?"
"9246","트렌드를 얻는 본인만의 경로나 방법은 무엇인가요?"
"9247","해당 직무를 선택한 이유는 무엇인가요?"
"9248","자신의 장점 및 단점을 말하고, 관련 사례를 들어주세요."
"9249","이력서를 보면 패션과는 전혀 상관이 없을 것 같은데, 왜 패션기업에 지원하게 되었는지?"
"9250","LF가 다른 패션기업과 뭐가 다른가?"
"9251","LF가 해외 유명 패션기업은 벤치마킹한다면 어떤 회사를 해야 한다고 생각하는가? 또 그 이유는 무엇인가?"
"9252","최근에 읽었던 책은 무엇인가?"
"9253","형용사는 무엇인가?"
"9254","본인이 패션에 대해 관심이 있다는 것을 말해 보아라"
"9255","슬랙스의 소재는 무엇인가?"
"9256","오늘 면접에 오기 전에 무엇을 했는지 영어로 설명해보아라."
"9257","LF브랜드 1개를 골라 경쟁사와 비교분석하고 전략방향 제시하시오(PT면접)"
"9258","제조업이나 유통업에 종사한 경험은?"
"9259","해당직무에 대한 개인적인 비전은?"
"9260","왜 패션 못하게 생겼는데 패션업계에서 일을 하려하는가?"
"9261","자신의 장,단점은 무엇인가?"
"9262","패션을 좋아하면 돈 많이 벌어서 취미로 패션제품을 구매하면 되지 않나?"
"9263","미생 보느냐, 거기서 안영이라면 어떻게 하겠는가?"
"9264","어떤 브랜드를 하고 싶으며 왜 하고싶은가?"
"9265","입사 후 어떻게 회사에 기여 할 수 있는지?"
"9266","최근 젊은 남성들에게 중요한 FASHION CONTENTS가 어떤 것인지?"
"9267","그 분야 1위 기업을 알고 있는가?"
"9268","LF는 어떻게 하고 있는지 알고 있는가?"
"9269","가로수길에서 TNGT악세사리 라인 어떻게 디피할 것인가?"
"9270","최근 세계 이슈라고 생각하는 것을 영어로 설명해보아라."
"9271","영업을 뭐라고 생각하십니까?"
"9272","동부생명에 지원하게 된 동기는 무엇입니까?"
"9273","마지막으로 할 말이 있습니까?"
"9274","영업관리자가 가져야 할 역량은 무엇입니까?"
"9275","(PT면접질문) PT면접에서 제시한 사안에 대해서 구체적으로 계획안을 말해주세요."
"9276","미래 시대에 대비하여 적합한 보험 상품을 말해주세요."
"9277","위험조정에 대해서 설명해보세요."
"9278","자신의 성격에 대해 말해보세요."
"9279","자신의 전공에 대해 설명해보세요."
"9280","자살보험금에 대한 생각을 말해보세요."
"9281","주식 시장이 3천 포인트 찍으면 보험사에 어떤 영향을 미칠 것 같습니까?"
"9282","동부생명이 당신을 뽑을 이유가 무엇인가?"
"9283","사무직의 여러 업무 중 하고 싶은 업무는 무엇입니까?"
"9284","지원한 직무가 무슨 일을 하는 건지 아는가?"
"9285","해당 직무가 어떤 역량을 주로 필요로 할 것 같은지 말해보세요."
"9286","해당 직무를 위해 그동안 준비한 노력은 무언인가?"
"9287","마지막으로 본인 어필을 해보세요"
"9288","본인이 생각하는 진정성이란?"
"9289","스레드와 프로세스의 차이점이 뭔가요?"
"9290","지금까지 살아오면서 가장 큰 실패는 무엇이었나요? 또 그때 실패 했던 이유는 뭐라고 생각하나요?"
"9291","자기소개서에 썼던 무기 말고 또 어떤 무기를 알고 있나요?"
"9292","열역학과 연소와공해를 배웟는데, 이 과목들이 직무에 어떻게 작용될까요?"
"9293","유체역학은 무기설계에 어떻게 작용하나요?"
"9294","본인이 했던 여러 대외 활동들이 어떻게 직무에 작용하나요?"
"9295","회사를 퇴사한 이유를 말씀해주세요."
"9296","학교다니면서 배웠던 과목중에 어떤것이 기억에 남는가."
"9297","피피티를 준비하면서 어려웠던 점은 있는가."
"9298","이 회사에 지원한 가장 큰 계기는 무엇인가."
"9299","자소서에 대해 자세하게 말해보시오."
"9300","지원자를 뽑아야 하는 이유에 대해서 발표하라."
"9301","학점이 낮은 이유에 대해서 설명하시오."
"9302","LIG넥스원의 장단점에 대해 말해보시오."
"9303","특정 과목의 성적이 낮은 이유는 무엇인가?"
"9304","뭐 타고 왔는가?"
"9305","지원자의 공백기간에 대해 설명해보시오."
"9306","지원한 분야에 특별히 관심을 가지게 된 이유가 있는가?"
"9307","인사 관련 최근 이슈나 중요한 인사 관련 이슈에 대해 말해보시오."
"9308","인사 부서에서 맡고 싶은 업무는 무엇인가?"
"9309","배운 것을 어떻게 업무에 적용할 것인가?"
"9310","스트레스를 어떻게 푸는가?"
"9311","지원자의 인간관계는 어떠한가?"
"9312","프로젝트 수행 시 어려운 점은 없었는가?"
"9313","회사에서 하기 싫은 일을 시키면 어떻게 할 것인가?"
"9314","SW에서 무슨 일을 할 것 같은가?"
"9315","공백 기간에 무엇을 했는지 설명해달라."
"9316","면접장까지 뭐 타고 왔는가?"
"9317","본인이 학교에서 배운 것을 직무에 어떻게 적용할 것인가?"
"9318","스트레스 관리는 어떻게 하는가?"
"9319","지원한 분야에 특별히 관심을 가지게 된 이유가 무엇인가?"
"9320","특정 과목이 성적이 낮은데, 그 이유는 무엇인가?"
"9321","회사에서 하기 싫은 일을 시키면 어떻게 할 것인가?"
"9322","SW에서 무슨 일을 한 것 같은가?"
"9323","대학 생활을 요약해서 말해달라"
"9324","FET에 대해 잘 아는가?"
"9325","동아리를 하면서 어떤 점이 본인에게 도움이 되었나?"
"9326","술은 잘 마시는가?"
"9327","전공과 관련한 본인의 장점은 무엇인가?"
"9328","프로젝트를 하면서 가장 힘들었던 점은 무엇인가?"
"9329","프로젝트에서 맡았던 부분은 무엇인가?"
"9330","방위산업에 대해 아는 것을 말해보라."
"9331","지원하게 된 동기가 무엇인가?"
"9332","가장 싫어하는 사람의 유형은 누구인가? 그리고 만약 그러한 유형의 사람이 자신의 상사라면 어떻게 하겠는가?"
"9333","훈민정음 국보 1호 지정에 대해 어떻게 생각하는가?"
"9334","빅데이터란 무엇인가요?"
"9335","신뢰성공학 수업은 왜 듣지 않았나?"
"9336","프로젝트의 목표 및 본인이 수행한 내역을 말해보세요."
"9337","가장 좋아하는 과목이 무엇인가?"
"9338","마지막으로 하고 싶은 말이 있는가?"
"9339","성격의 장단점에 대해 말해보세요."
"9340","자기소개"
"9341","다른 회사에 지원했었나? 그러면 그 회사 채용에서 탈락한 이유는 무엇이라고 생각하는가?"
"9342","6시그마와 ISO에 대해 말해보시오"
"9343","가장 끈기를 갖고 성취했던 경험에 대해 말해보시오."
"9344","대기업의 사회적 책임에 대해서 말해보세요."
"9345","스펙이란 무엇이라고 생각합니까?"
"9346","복수전공을 한 이유는 무엇입니까?"
"9347","기숙사 생활 가능한가?"
"9348","바둑을 왜 그만 두었나요?"
"9349","마지막으로 할 말이 있는가?"
"9350","자기소개해보시오."
"9351","지원동기가 무엇인가?"
"9352","1분 자기소개를 해 보세요."
"9353","만약 직장상사가 퇴근시간이 다 돼서야 매번 일을 맡깁니다. 그 일은 2시간 정도 소요됩니다. 본인은 직장생활의 워라벨을 중요시 해 퇴근 후의 일도 중요합니다. 어떻게 대처하시겠습니까?"
"9354","한국정보화진흥원은 최근 사업중 사회에 미치는 영향에 대해 어떻게 생각하는지? 그리고 다른 사업을 추천한다면 어떤 사업을 추천하겠습니까?"
"9355","빅데이터에 대해 뭐라고 생각하는가? 아는대로 설명해 보세요."
"9356","이 일을 하면서 여러 협력업체와 의견 대립이 있을 때가 많은데 그럴때마다 지원자는 서로 대치된 의견의 두 집단의 의견차이를 어떻게 극복하겠는가?"
"9357","우리 회사를 한마디로 요약해보세요."
"9358","각종 사회갈등의 해결방안에 대해 말해보세요"
"9359","본인이 가지고 있는 강점은 무엇인가요?"
"9360","입사 후 가장하고 싶은 일은 무엇인가요?"
"9361","자기소개 해보세요"
"9362","한국정보화진흥원이 개선할 점에 대해 말해보세요"
"9363","기획업무를 수행했던 경험을 말해보세요"
"9364","포항에서 근무할 자신 있습니까?"
"9365","인사업무에 있어서 중요한 역량은 무엇이라고 생각합니까?"
"9366","안전은 무엇이라 생각하나요?"
"9367","포스코케미칼 이차전지 사업에서 생산하는 제품은 무엇일까요?"
"9368","직무에 있어서 본인의 강점은?"
"9369","생산관리, 품질관리에 있어 가장 중요한 것은 무엇이라 생각하나요?"
"9370","가장 좋아하는 사자성어는 무엇입니까?"
"9371","회사의 지원동기는 무엇입니까?"
"9372","회사에서 진행중인 사업(구체적인)에 대해 알고 있는것이 있나요?"
"9373","봉사활동 경험에 대해 말해보세요."
"9374","가장 존경하는 위인(가족제외)은 누구인가요?"
"9375","가장 힘들었던 경험과 극복 방법은 무엇입니까?"
"9376","스트레스 해소방법은 무엇입니까?"
"9377","일이 적성에 안 맞는다면 어떻게 하실 건가요?"
"9378","졸업 후 인턴경험에 대해 말해보라"
"9379","학생들의 불만을 사고 있는 교내식당의 문제점을 해결하기 위해 5명이 각각 역할을 정하여 결과를 도출하라."
"9380","지원동기를 말해보아라."
"9381","직무 관련 프로젝트를 수행한 경험이 있는가?"
"9382","마지막으로 하고 싶은 말은 무엇인가요?"
"9383","자기소개 해보세요."
"9384","학교 생활하면서 힘들었던 점은 무엇인가요?"
"9385","마지막으로 할 말이 있습니까?"
"9386","경상이익과 당기순이익의 차이를 말해보아라."
"9387","한라에 대해 얼마나 관심을 가지고 있었나?"
"9388","현대자동차 한전 부지 매입과 관련한 본인의 생각은 어떠한지 말해보아라."
"9389","1x1컨볼루션이 왜 필요한지 말해보세요."
"9390","주로 어떤 딥러닝 아키텍쳐를 선호하나요?"
"9391","visual slam과 odometry 기술을 사용한 경험이 있나요?"
"9392","R&D 직무에 지원했는데 데이터 분석에 관심을 갖게 된 계기가 있나요?"
"9393","말한 경험들이 정확히 언제 언제 했는지 말해보세요."
"9394","개발 언어 할 줄 아는 것이 있나요?"
"9395","현대오토에버가 나아가야 할 방향에 대해서, 신문이나 기사를 제외한 본인만의 생각을 서술하시오."
"9396","(공백기가 있는 지원자에게) 저번 공채에는 본인이 왜 떨어졌다고 생각하는가?"
"9397","본인을 뽑아야하는 경쟁력, 강점 혹은 본인만의 스토리를 말해보세요."
"9398","자신만의 특출난 점은 무엇이며, 그것을 정량적인 수치로 말해보아라."
"9399","(영어면접) 장거리로 비행기를 탈 때 주로 무엇을 하나요?"
"9400","공모전에서 상을 탔었는데, 그건 무슨 상이었나요?"
"9401","지원자의 강점은 무엇인가요?"
"9402","남들과 다른 자기 자신의 강점을 어필해보세요."
"9403","삶에서 가장 힘들었던 순간은?"
"9404","영업에 지원한 이유는 무엇인가?"
"9405","자기소개해보세요."
"9406","자신이 주도한 프로젝트에서 실패한 경험을 말해보시오."
"9407","자신이 갖고 있는 '대한민국 1%안에 드는 무언가'를 말해보시오."
"9408","회사 경험이 있는데 무엇을 했나?"
"9409","그러면 그 직무에 대해서 말해보시오."
"9410","사용해본 언어는 뭐가 있는가?"
"9411","오토에버의 어떤 직무에 지원했는가?"
"9412","자신의 강점이 무엇인가? (IT부분)"
"9413","데이터베이스에 대해 말해보세요."
"9414","사용가능한 프로그래밍 언어를 말해보세요."
"9415","사회봉사 경험을 말해보세요."
"9416","인생관 및 꿈에 대해 말해보세요."
"9417","생산관리가 무슨 일을 하는지 알고 있나요?"
"9418","열처리에 대해 말해보세요."
"9419","성격의 장단점을 말해보세요."
"9420","자신을 어필할 이야기를 해보세요."
"9421","지원 직무에 대해 아는 것을 말해보세요."
"9422","자기소개를 해보세요."
"9423","직무와 관련된 사무보조 아르바이트를 한 경험이 있는데 여기서 무엇을 한 건가요?"
"9424","마지막으로 하고 싶은 말은?"
"9425","1분 자기소개를 해보세요"
"9426","본인의 직무적성이 무엇이라고 생각하나요?"
"9427","성격의 장단점에 대해 말해보세요"
"9428","회사를 선택할 때 어떤 기준이 있나요?"
"9429","자소서에 기록한 동아리 활동에 대해 말해보세요."
"9430","한일시멘트에서 분위기를 잘 이끌어 나갈 방법은 무엇인가요?"
"9431","지원 분야에서 가장 중요하게 생각하는 것은 무엇인가요?"
"9432","설비능력향상 예시를 말해보세요."
"9433","태양광 발전 원리에 대해 말해보세요."
"9434","AC/DC 모터 속도 제어법에 대해 말해보세요."
"9435","왜 한일시멘트에 지원하였나요?"
"9436","한일시멘트가 무엇을 하는 회사인지 알고 있나요?"
"9437","마지막으로 하고 싶은 말은 무엇인가?"
"9438","세대간에 갈등에 대해 견해를 말해보세요"
"9439","자기소개를 해보세요"
"9440","FTA에 대해 본인의 생각을 말해보세요"
"9441","이 회사에 지원한 이유는 무엇인가요?"
"9442","상사에게 꾸중을 들었을 때 어떻게 해결할 것인가?"
"9443","최근에 인턴했던 곳과 상당히 다른 회사와 직군인데 왜 이 직무를 지원했나요?"
"9444","당신의 약점은? 그리고 보완, 노력은?"
"9445","성취감을 느낀 경험은?"
"9446","우리회사가 다른 회사와 차별화 되는 강점은?"
"9447","자기소개 및 지원동기"
"9448","복합발전에 대해 설명해보세요"
"9449","우리 회사가 어떤 회사인지 아는가?"
"9450","자기소개를 해보세요"
"9451","지원하지 않는 지역으로 입사하게 된다면 어떻게 할 것인가?"
"9452","회사에 들어오면 어떤 자기계발을 하겠는가?"
"9453","자기소개를 해보세요"
"9454","자신이 아이디어를 내고 새로운 것을 발견한 사례를 말해보세요"
"9455","포스코파워는 고온형 연료전지를 연구하는데 본인의 연구분야와 다르다 어떤 쪽에서 일 하고 싶은가?"
"9456","하고 싶은 말을 해보세요"
"9457","힘들었던 경험이 있었는가? 어떻게 극복했는지 사례를 말해보세요"
"9458","안철수씨의 정치참여에 대해 어떻게 생각하는지?"
"9459","왜 포스코파워에 지원하게 되었는가?"
"9460","자기소개를 해보세요"
"9461","지원동기를 말해보세요"
"9462","포스코파워에서 M&A를 하고 싶은 이유는 무엇인가?"
"9463","부채를 더끌여와도 괜찮은가?"
"9464","에스코가 뭔지 아는가?"
"9465","자기소개를 해보세요"
"9466","포스코파워의 부채비율이 얼만지 아는가?"
"9467","현 상황에서 유상증자를 하는게 좋은가?"
"9468","J커브가 무엇인지 아는가?"
"9469","NDF가 무엇인가?"
"9470","본인이 잘한다고 한 프로그램을 어느정도 수준까지 활용 가능한가?"
"9471","1분 자기소개를 해보세요."
"9472","여행간것, 봉사한것을 영어로 말해보세요."
"9473","이 회사, 직무를 선택한 이유를 말해보세요."
"9474","스트레스 해소방법이 어떻게 되나요?"
"9475","학점이 좋은데 특별한 비법이 있나요?"
"9476","협업한 경험이 있나요?"
"9477","녹십자를 선택한 이유를 말해보세요."
"9478","영업직무를 선택한 이유를 말해보세요."
"9479","살면서 겪었던 실패경험에 대해 말해보세요."
"9480","제약회사에 왜 지원하였나?"
"9481","옆지원자랑 동문인건 알고 있나?"
"9482","앞으로 어떤 사원이 되고 싶나?"
"9483","어떤직무인지 알고 지원했나?"
"9484","왜 지원했나?"
"9485","책임감 있냐??"
"9486","전 직장에서 어떤 제품을 기획하고 개발하였는가?"
"9487","녹십자웰빙에 대해 얼마나 아는가?"
"9488","녹십자 웰빙만의 차별화는 어떤 것이 있는가?"
"9489","본인이 글로벌 업무를 잘 할 수 있는 이유를 영어로 말해봐라."
"9490","왜 인턴했던 제약회사에 안가고 녹십자에 오려고 하는가?"
"9491","공장에서 일하다 보니 생산직원들과 어울려야 하는데 괜찮은가?"
"9492","녹십자에 대해 어떻게 생각하는가?"
"9493","왜 지원했는가?"
"9494","종교를 보니 기독교인데, 주말에도 근무가 가능한가?"
"9495","취미가 무엇인가?"
"9496","(영어질문) 여기까지 오는데 뭘 타고 왔는가? 영어로 답해봐라."
"9497","거주지가 지방인데, 합격하여 입사하면 어디서 생활할 것인가?"
"9498","당신의 단점은 무엇인가?"
"9499","반응공학에서 아레니우스 식을 말해보시오."
"9500","본인이 한 봉사활동에 대해 영어로 설명해보시오."
"9501","영어로 자기소개해보시오."
"9502","운동은 뭐 좋아하는가?"
"9503","지방인데 결혼하면 어떻게 할 것인가?"
"9504","지원한 분야에서 가장 하고 싶은 일은 무엇이고 그 이유는 무엇인가?"
"9505","친구는 몇 명이나 있나?"
"9506","취미생활에 대해 말해보시오."
"9507","녹십자 본사에 왔을 때 첫 인상은 어땠는가?"
"9508","녹십자에 들어오면서 든 생각은?"
"9509","당신과 공통점이 있는 역사적 인물을 말해보고, 구체적으로 어떠한 공통점이 있는지 말해보시오."
"9510","마지막으로 할 말이 있는가?"
"9511","상사가 야근을 시키는데, 여자친구에게 프로포즈하기로 약속된 날이다. 어떻게 하겠는가?"
"9512","자기 PR 30초씩 해봐라."
"9513","제약영업에 지원한 동기는 무엇인가?"
"9514","제약영업이란 무엇이라고 생각하는가?"
"9515","특기는 무엇인가?"
"9516","1분 동안 자기소개해보시오."
"9517","공백기 동안 뭐했나요?"
"9518","본인이 나온 학교를 자랑해보시오."
"9519","성격의 장단점은 무엇인가?"
"9520","성격이 동적인가 정적인가? 성격이 동적이라면 구체적으로 어떤 활동을 좋아하는가?"
"9521","어떤 운동을 좋아하는가?"
"9522","자기소개에 적혀 있는 자격증은 왜 땄나요?"
"9523","자기소개에서 기록된 자격증이 어떤 자격증인지 설명해보시오."
"9524","주량은 어떻게 되는가?"
"9525","주말에 뭐했는지 영어로 대답하시오."
"9526","지원한 직무는 어떤 일을 하는 직무인지 이야기해보세요."
"9527","해외에 나갔다 온 사람 치고 영어 점수가 낮네요?"
"9528","흡연을 하는가?"
"9529","QC와 QA 중 어느 쪽으로 가고 싶은가?"
"9530","다시 공부하고 싶은 과목이 있는가? 그 이유는 무엇인가?"
"9531","성격의 장단점에 대해 설명하시오."
"9532","성적이 왜 나쁜 것인가?"
"9533","연구직도 체력이 필요한데, 체력적으로 자신이 있는가?"
"9534","유효기간 끝나서 토익점수를 제출하지 못했다고 하였는데, 유효기간 끝나기 전엔 토익 점수가 몇 점이었는가?"
"9535","자기소개해보시오."
"9536","지원한 직무 말고 다른 직무를 잘 할 것 같다고 하면 다른 직무로 옮길 것인가?"
"9537","토익점수를 제출하지 않았는데, 왜 안 냈는가?"
"9538","대학생 때 학업 외 활동으로 어떤 활동을 했는가?"
"9539","마지막으로 할 말이 있는가?"
"9540","희망연봉은 얼마인가?"
"9541","생산관리란 어떤 것이라 생각하고 지원한 이유는 무엇인가?"
"9542","연고지와 다른데, 생활하는 데 괜찮은가?"
"9543","왜 오창 공장에 지원했는가?"
"9544","전공을 선택한 이유가 무엇인가?"
"9545","좋아하는 운동은 무엇인가?"
"9546","회사까지 어떻게 왔는가?"
"9547","(영어질문) 여기까지 오는 데 뭘 타고 왔습니까?"
"9548","반응공학에서 아레니우스식을 말해보세오."
"9549","어떤 운동을 좋아합니까?"
"9550","종교를 보니 기독교인데, 주말에도 근무가 가능합니까?"
"9551","준비해온 영어 인터뷰를 해보세요."
"9552","지방인데 결혼하면 어떻게 할 겁니까?"
"9553","집이 지방인데, 어디서 생활할 겁니까?"
"9554","친구는 몇 명이나 사귀고 있습니까?"
"9555","군가산제에 대해 찬성하는가?"
"9556","만약 불합격한다면 어떻게 할 것인가?"
"9557","영업 직무를 선택한 이유는 무엇인가요?"
"9558","특기는 무엇인가요?"
"9559","직장생활하면서 갈등이 생길 수도 있는데, 동료와의 갈등과 업무 내 갈등을 어떻게 해결할 것인가?"
"9560","본사에 처음 도착했을 때 무슨 생각이 들었습니까?"
